Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE
1d604da9-9a81-4ba9-80c2-de3375d59b40,5/25/89,,999-76-6866,S99984236,X19277260X,Mr.,José Eduardo181,Gómez206,,,M,white,hispanic,M,Marigot  Saint Andrew Parish  DM,427 Balistreri Way Unit 19,Chicopee,Massachusetts,Hampden County,01013,42.22835382315942,-72.56295055,271227.08,1334.8799999999999
034e9e3b-2def-4559-bb2a-7850888ae060,11/14/83,,999-73-5361,S99962402,X88275464X,Mr.,Milo271,Feil794,,,M,white,nonhispanic,M,Danvers  Massachusetts  US,422 Farrell Path Unit 69,Somerville,Massachusetts,Middlesex County,02143,42.36069732777065,-71.12653095,793946.01,3204.49
10339b10-3cd1-4ac3-ac13-ec26728cb592,6/2/92,,999-27-3385,S99972682,X73754411X,Mr.,Jayson808,Fadel536,,,M,white,nonhispanic,M,Springfield  Massachusetts  US,1056 Harris Lane Suite 70,Chicopee,Massachusetts,Hampden County,01020,42.181642300277424,-72.60884223,574111.9,2606.3999999999996
8d4c4326-e9de-4f45-9a4c-f8c36bff89ae,5/27/78,,999-85-4926,S99974448,X40915583X,Mrs.,Mariana775,Rutherford999,,Williamson769,M,white,nonhispanic,F,Yarmouth  Massachusetts  US,999 Kuhn Forge,Lowell,Massachusetts,Middlesex County,01851,42.63614335069588,-71.34325492,935630.3,8756.189999999999
f5dcd418-09fe-4a2f-baa0-3da800bd8c3a,10/18/96,,999-60-7372,S99915787,X86772962X,Mr.,Gregorio366,Auer97,,,,white,nonhispanic,M,Patras  Achaea  GR,1050 Lindgren Extension Apt 38,Boston,Massachusetts,Suffolk County,02135,42.35243426303177,-71.02861042,598763.07,3772.2
72c0b9ce-7aa4-430b-aaff-bd0ce7846e55,7/27/17,,999-68-6630,,,,Jacinto644,Kris249,,,,white,nonhispanic,M,Beverly  Massachusetts  US,888 Hickle Ferry Suite 38,Springfield,Massachusetts,Hampden County,01106,42.151961474963535,-72.5989594,8718.66,1499.08
b1e9b0b9-da6e-4f68-b603-bd896a50ca86,12/13/03,,999-73-2461,S99954048,,,Jimmie93,Harris789,,,,white,nonhispanic,F,Worcester  Massachusetts  US,201 Mitchell Lodge Unit 67,Pembroke,Massachusetts,Plymouth County,,42.07529152717956,-70.75703466,397548.14,3093.12
01207ecd-9dff-4754-8887-4652eda231e2,5/15/19,,999-81-4349,,,,Karyn217,Mueller846,,,,white,nonhispanic,F,New Bedford  Massachusetts  US,570 Abshire Forge Suite 32,Colrain,Massachusetts,Franklin County,,42.740219982868055,-72.72264768,26400,774.9599999999999
b58731cc-2d8b-4c2d-b327-4cab771af3ef,5/16/70,,999-90-2484,S99978036,X78170348X,Mrs.,Isabel214,Lucio648,,Carvajal694,M,white,hispanic,F,Santiago  Santiago Province  CL,335 Morar Highlands Apt 75,Fall River,Massachusetts,Bristol County,02720,41.68768444527544,-71.05576878,987310.04,14166.009999999997
cfee79fc-df05-476e-b274-43e09ea345db,7/4/16,,999-15-5895,,,,Alva958,Krajcik437,,,,white,nonhispanic,F,Boston  Massachusetts  US,1048 Skiles Trailer,Walpole,Massachusetts,Norfolk County,02081,42.177370220648726,-71.28135316,80155.36,1599.08
ad2e9916-4979-40fc-a8c0-68651a0cb5a6,12/19/04,,999-78-4480,,,,Jeffrey461,Greenfelder433,,,,white,nonhispanic,M,Plymouth  Massachusetts  US,428 Wiza Glen Unit 91,Springfield,Massachusetts,Hampden County,01104,42.104927111867894,-72.59101061,317164.78,2816.48
bfb6537b-535a-4f31-9a56-073220f96a17,7/3/91,,999-74-9712,S99913545,X65838399X,Mrs.,Karyn217,Jast432,,Reynolds644,M,white,nonhispanic,F,Belmont  Massachusetts  US,181 Feest Passage Suite 64,Medfield,Massachusetts,Norfolk County,02052,42.138719393835025,-71.29725536,700919.16,6196.919999999999
83719bd7-7a41-4c87-93f9-c5de4db6a14a,6/7/89,,999-24-1237,S99993444,X19938368X,Mrs.,Leann224,Larson43,,Jaskolski867,M,white,nonhispanic,F,Fall River  Massachusetts  US,118 Bailey Orchard Suite 34,Needham,Massachusetts,Norfolk County,,42.320747443630474,-71.23282935,706612.59,8624.599999999999
